"取引No","取引日","借方勘定科目","借方補助科目","借方部門","借方取引先","借方税区分","借方インボイス","借方金額(円)","貸方勘定科目","貸方補助科目","貸方部門","貸方取引先","貸方税区分","貸方インボイス","貸方金額(円)","摘要","タグ","メモ"
"14","2025/10/01","敷金","社宅/ヴィラーチェ","","","対象外","","130000","","","","","","","","","",""
"14","2025/10/01","差入保証金","㈱ﾅﾚｯｼﾞｿｻｴﾃｨ/保証金","","","対象外","","60000","","","","","","","","","",""
"14","2025/10/01","預託金","カローラクロスZ","","","対象外","","12160","","","","","","","","","",""
"14","2025/10/01","預託金","レクサス　NX350ｈ","","","対象外","","15730","","","","","","","","","",""
"14","2025/10/01","","","","","","","","買掛金","その他（未）","","","対象外","","574838","","",""
"14","2025/10/01","","","","","","","","買掛金","PENTOLA/ﾖｼｵｶﾕｳ","","","対象外","","224116","","",""
"14","2025/10/01","","","","","","","","買掛金","Curip㈱","","","対象外","","1100000","","",""
"14","2025/10/01","","","","","","","","買掛金","浅香太平","","","対象外","","100582","","",""
"14","2025/10/01","","","","","","","","買掛金","石塚昌平","","","対象外","","259255","","",""
"14","2025/10/01","","","","","","","","買掛金","本多秀一","","","対象外","","243294","","",""
"14","2025/10/01","","","","","","","","買掛金","出口衛","","","対象外","","259255","","",""
"14","2025/10/01","","","","","","","","買掛金","上野慶太","","","対象外","","247313","","",""
"14","2025/10/01","","","","","","","","買掛金","今井海斗","","","対象外","","230747","","",""
"14","2025/10/01","","","","","","","","買掛金","玉利泰人","","","対象外","","224830","","",""
"14","2025/10/01","","","","","","","","買掛金","早坂美里","","","対象外","","53874","","",""
"14","2025/10/01","","","","","","","","買掛金","布間脩一郎","","","対象外","","119748","","",""
"14","2025/10/01","","","","","","","","買掛金","Fan Studio/ワンヤートウン","","","対象外","","18183","","",""
"14","2025/10/01","","","","","","","","買掛金","宮崎滉己","","","対象外","","215496","","",""
"14","2025/10/01","","","","","","","","買掛金","小倉孝介","","","対象外","","105093","","",""
"14","2025/10/01","","","","","","","","未払金","AMEXカード","","","対象外","","1491762","","",""
"14","2025/10/01","","","","","","","","未払金","その他","","","対象外","","44880","","",""
"14","2025/10/01","","","","","","","","未払費用","役員報酬","","","対象外","","487319","","",""
"14","2025/10/01","","","","","","","","未払費用","給与","","","対象外","","489877","","",""
"14","2025/10/01","","","","","","","","未払費用","社会保険料","","","対象外","","368096","","",""
"14","2025/10/01","","","","","","","","預り金","報酬源泉","","","対象外","","332550","","",""
"14","2025/10/01","","","","","","","","預り金","源泉所得税","","","対象外","","254905","","",""
"14","2025/10/01","","","","","","","","未払消費税","","","","対象外","","2840900","","",""
"14","2025/10/01","","","","","","","","未払法人税等","","","","対象外","","657100","","",""
"14","2025/10/01","","","","","","","","長期借入金","篠原","","","対象外","","903425","","",""
"14","2025/10/01","","","","","","","","長期借入金","公庫/＠64,000円","","","対象外","","3584000","","",""
"14","2025/10/01","","","","","","","","長期借入金","公庫/＠125,000円","","","対象外","","1750000","","",""
"14","2025/10/01","","","","","","","","長期借入金","公庫/＠250,000円","","","対象外","","20000000","","",""
"14","2025/10/01","","","","","","","","長期借入金","西京信用金庫①　＠27,000","","","対象外","","1812000","","",""
"14","2025/10/01","","","","","","","","長期借入金","西京信用金庫③　＠117,000","","","対象外","","2086000","","",""
"14","2025/10/01","","","","","","","","長期借入金","西京信用金庫⑤　＠298,000","","","対象外","","20232000","","",""
"14","2025/10/01","","","","","","","","長期未払金","カローラクロスZ","","","対象外","","3326500","","",""
"14","2025/10/01","","","","","","","","長期未払金","レクサス　NX350ｈ","","","対象外","","7204640","","",""
"14","2025/10/01","","","","","","","","資本金","","","","対象外","","510000","","",""
"14","2025/10/01","","","","","","","","繰越利益剰余金","","","","対象外","","11174998","","",""
"120","2025/10/01","長期借入金","篠原","","","対象外","","903425","短期借入金","篠原","","","対象外","","903425","振替","",""
"238","2025/10/01","通信費","","","","課税仕入 10%","","9","未払金","AMEXカード","","","対象外","","9","GOOGLE*CLOUD 2SC3HP GOOGLE CLOUD JA","",""
"239","2025/10/01","通信費","","","","課税仕入 10%","","7713","未払金","AMEXカード","","","対象外","","7713","GOOGLE*CLOUD 6NGLZG GOOGLE CLOUD JA","",""
"240","2025/10/01","通信費","","","","課税仕入 10%","","1","未払金","AMEXカード","","","対象外","","1","GOOGLE*CLOUD DG476V GOOGLE CLOUD JA","",""
"241","2025/10/01","通信費","","","","課税仕入 10%","","57265","未払金","AMEXカード","","","対象外","","57265","GOOGLE*CLOUD LLXT2Z GOOGLE CLOUD JA","",""
"242","2025/10/01","通信費","","","","課税仕入 10%","","6375","未払金","AMEXカード","","","対象外","","6375","GOOGLE*GSUITE HANAEMI.CO.JP GOOGLE CLO","",""
"243","2025/10/01","通信費","","","","課税仕入 10%","","12839","未払金","AMEXカード","","","対象外","","12839","GOOGLE*GSUITE SOCT.JP GOOGLE CLOUD JA","",""
"244","2025/10/01","通信費","","","","課税仕入 10%","","6250","未払金","AMEXカード","","","対象外","","6250","QANGAROO.JP","",""
"245","2025/10/01","通信費","","","","課税仕入 10%","","2090","未払金","AMEXカード","","","対象外","","2090","WIX.COM","",""
"246","2025/10/01","旅費交通費","","","","課税仕入 10%","","2890","未払金","AMEXカード","","","対象外","","2890","ETC 東日本高速道路 関東支社","",""
"247","2025/10/01","旅費交通費","","","","課税仕入 10%","","1310","未払金","AMEXカード","","","対象外","","1310","ETC 首都高速道路","",""
"248","2025/10/01","通信費","","","","課税仕入 10%","","4692","未払金","AMEXカード","","","対象外","","4692","GMOとくとくBB 東京都 渋谷区","",""
"249","2025/10/01","通信費","","","","課税仕入 10%","","825","未払金","AMEXカード","","","対象外","","825","EEASY 東京都 千代田区","",""
"250","2025/10/01","通信費","","","","課税仕入 10%","","308","未払金","AMEXカード","","","対象外","","308","COOKPAD* SEP","",""
"392","2025/10/01","売掛金","ストライプジャパン","","","対象外","","1257730","売上高","","","","課税売上 10%","","1257730","ストライプジャパン㈱　※仮","資料不足",""
"411","2025/10/01","法定福利費","","","","対象外","","25389","立替金","","","","対象外","","25389","冨岡　彩乃9月支給分修正","",""
"251","2025/10/02","通信費","","","","課税仕入 10%","","3103","未払金","AMEXカード","","","対象外","","3103","AMAZON WEB SERVICES","",""
"252","2025/10/02","通信費","","","","課税仕入 10%","","736","未払金","AMEXカード","","","対象外","","736","AMAZON WEB SERVICES","",""
"253","2025/10/02","通信費","","","","課税仕入 10%","","13420","未払金","AMEXカード","","","対象外","","13420","FIGMA","",""
"254","2025/10/02","通信費","","","","課税仕入 10%","","670","未払金","AMEXカード","","","対象外","","670","GITHUB, INC.","",""
"255","2025/10/02","広告宣伝費","","","","課税仕入 10%","","97900","未払金","AMEXカード","","","対象外","","97900","INDEED JAPAN KK","",""
"256","2025/10/02","通信費","","","","課税仕入 10%","","16501","未払金","AMEXカード","","","対象外","","16501","SHOPIFY* 425929939","",""
"257","2025/10/02","接待交際費","","","","課税仕入 10%","","47520","未払金","AMEXカード","","","対象外","","47520","CHIHIRO/AIR 栃木県 宇都宮","",""
"258","2025/10/03","通信費","","","","課税仕入 10%","","1450","未払金","AMEXカード","","","対象外","","1450","GOOGLE *GOOGLE ONE","",""
"351","2025/10/03","旅費交通費","","","","課税仕入 10%","","8026","未払金","AMEXカード","","","対象外","","8026","ENEOS","",""
"259","2025/10/04","通信費","","","","課税仕入 10%","","3960","未払金","AMEXカード","","","対象外","","3960","BOOKRUN","",""
"260","2025/10/05","通信費","","","","課税仕入 10%","","9108","未払金","AMEXカード","","","対象外","","9108","マネ-フォワ-ドクラウド 東京都 港区","",""
"261","2025/10/05","諸会費","","","","課税仕入 10%","","600","未払金","AMEXカード","","","対象外","","600","AMAZON プライム会費","",""
"262","2025/10/05","備品・消耗品費","","","","課税仕入 10%","","6630","未払金","AMEXカード","","","対象外","","6630","KEEPERLABO 宇都宮店 栃木県","",""
"15","2025/10/06","長期借入金","西京信用金庫③　＠117,000","","","対象外","","117000","普通預金","【法人】西京信用金庫八重洲口営業部普通3127546","","","対象外","","119675","証書貸付","",""
"15","2025/10/06","支払利息","西京信用金庫③","","","対象外","","2675","","","","","","","","証書貸付","",""
"16","2025/10/06","長期借入金","西京信用金庫⑤　＠298,000","","","対象外","","298000","普通預金","【法人】西京信用金庫八重洲口営業部普通3127546","","","対象外","","331860","証書貸付","",""
"16","2025/10/06","支払利息","西京信用金庫⑤","","","対象外","","33860","","","","","","","","証書貸付","",""
"19","2025/10/06","長期借入金","公庫/＠64,000円","","","対象外","","64000","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","68006","出金 セイサクコウコ(コク)","",""
"19","2025/10/06","支払利息","公庫/＠64,000円","","","対象外","","4006","","","","","","","","出金 セイサクコウコ(コク)","",""
"20","2025/10/06","長期借入金","公庫/＠250,000円","","","対象外","","250000","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","297890","出金 セイサクコウコ(コク)","",""
"20","2025/10/06","支払利息","公庫/＠250,000円","","","対象外","","47890","","","","","","","","出金 セイサクコウコ(コク)","",""
"21","2025/10/06","買掛金","その他（未）","","","対象外","","337920","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","337920","出金 カ)ル-トロクジユウヨン　※突合済","",""
"22","2025/10/06","支払手数料","","","","課税仕入 10%","","660","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","660","出金 フリコミテスウリヨウ","",""
"23","2025/10/06","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","563200","売掛金","デジタルギア㈱","","","対象外","","563200","振込入金 デジタルギア(カ","",""
"263","2025/10/06","通信費","","","","課税仕入 10%","","1799","未払金","AMEXカード","","","対象外","","1799","EVERNOTE","",""
"264","2025/10/06","通信費","","","","課税仕入 10%","","5460","未払金","AMEXカード","","","対象外","","5460","STUDIO INC.","",""
"265","2025/10/06","通信費","","","","課税仕入 10%","","3300","未払金","AMEXカード","","","対象外","","3300","EBOOK5 北海道 札幌市中央区","",""
"17","2025/10/07","長期借入金","西京信用金庫①　＠27,000","","","対象外","","27000","普通預金","【法人】西京信用金庫八重洲口営業部普通3127546","","","対象外","","30335","証書貸付","",""
"17","2025/10/07","支払利息","西京信用金庫①","","","対象外","","3335","","","","","","","","証書貸付","",""
"266","2025/10/07","通信費","","","","課税仕入 10%","","4112","未払金","AMEXカード","","","対象外","","4112","NOTION LABS, INC.","",""
"24","2025/10/08","支払報酬","","","","課税仕入 10%","","55000","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","55000","出金 NSS.ホウリツコモンリヨウ","",""
"25","2025/10/08","支払報酬","","","","課税仕入 10%","","55000","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","55000","出金 NSS.シヤロウシ","",""
"26","2025/10/08","支払報酬","","","","課税仕入 10%","","60500","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","60500","出金 NSSゼイムコモンリヨウホカ","",""
"267","2025/10/08","会議費","","","","課税仕入 10%","","4807","未払金","AMEXカード","","","対象外","","4807","焼肉や漫遊亭宇都宮店 栃木県 宇都宮市","",""
"123","2025/10/09","会議費","","","","課税仕入 10%","","1900","短期借入金","篠原","","","対象外","","1900","香蘭","",""
"124","2025/10/09","会議費","","","","課税仕入 10%","","1260","短期借入金","篠原","","","対象外","","1260","めんめん","",""
"125","2025/10/09","旅費交通費","","","","課税仕入 10%","","400","短期借入金","篠原","","","対象外","","400","駐車場","",""
"126","2025/10/09","旅費交通費","","","","課税仕入 10%","","100","短期借入金","篠原","","","対象外","","100","駐車場","",""
"128","2025/10/09","会議費","","","","課税仕入 10%","","520","短期借入金","篠原","","","対象外","","520","ぎょうざの龍門","",""
"268","2025/10/09","通信費","","","","課税仕入 10%","","2719","未払金","AMEXカード","","","対象外","","2719","MICROSOFT JAPAN CO., LTD.","",""
"269","2025/10/09","通信費","","","","課税仕入 10%","","19033","未払金","AMEXカード","","","対象外","","19033","NGROK INC.","",""
"352","2025/10/09","旅費交通費","","","","課税仕入 10%","","4536","未払金","AMEXカード","","","対象外","","4536","コスモ石油 宇都宮平松","",""
"354","2025/10/09","預り金","報酬源泉","","","対象外","","246656","未払金","AMEXカード","","","対象外","","246656","源泉所得税及復興特別所得税","",""
"27","2025/10/10","未払金","AMEXカード","","","対象外","","1352549","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","1352549","出金 アメツクス","",""
"28","2025/10/10","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","760320","売掛金","綿半パートナーズ㈱","","","対象外","","760320","振込入金 ワタハンパ-トナ-ズ.カ","",""
"270","2025/10/10","通信費","","","","課税仕入 10%","","66000","未払金","AMEXカード","","","対象外","","66000","WANTEDLY, INC.","",""
"271","2025/10/10","通信費","","","","課税仕入 10%","","3850","未払金","AMEXカード","","","対象外","","3850","イプシロン 東京都 渋谷区","",""
"272","2025/10/10","通信費","","","","課税仕入 10%","","220","未払金","AMEXカード","","","対象外","","220","T-CONNECT/G-LINK利用料","",""
"273","2025/10/11","通信費","","","","課税仕入 10%","","11842","未払金","AMEXカード","","","対象外","","11842","GITHUB, INC.","",""
"274","2025/10/11","通信費","","","","課税仕入 10%","","9499","未払金","AMEXカード","","","対象外","","9499","LUCIDCHART.COM/CHARGE","",""
"275","2025/10/11","備品・消耗品費","","","","課税仕入 10%","","24360","未払金","AMEXカード","","","対象外","","24360","アマゾン シーオージェーピー","",""
"276","2025/10/12","通信費","","","","課税仕入 10%","","7600","未払金","AMEXカード","","","対象外","","7600","NOTION LABS, INC.","",""
"277","2025/10/12","通信費","","","","課税仕入 10%","","3482","未払金","AMEXカード","","","対象外","","3482","OPENAI *CHATGPT SUBSCR","",""
"278","2025/10/12","通信費","","","","課税仕入 10%","","918","未払金","AMEXカード","","","対象外","","918","X CORP. PAID FEATURES","",""
"279","2025/10/12","旅費交通費","","","","課税仕入 10%","","2890","未払金","AMEXカード","","","対象外","","2890","ETC 東日本高速道路 関東支社","",""
"280","2025/10/12","旅費交通費","","","","課税仕入 10%","","1430","未払金","AMEXカード","","","対象外","","1430","ETC 首都高速道路","",""
"281","2025/10/12","旅費交通費","","","","課税仕入 10%","","600","未払金","AMEXカード","","","対象外","","600","ETC中日本高速道路 横浜","",""
"282","2025/10/12","旅費交通費","","","","課税仕入 10%","","600","未払金","AMEXカード","","","対象外","","600","ETC中日本高速道路 横浜","",""
"283","2025/10/13","通信費","","","","課税仕入 10%","","1881","未払金","AMEXカード","","","対象外","","1881","ATLASSIAN","",""
"29","2025/10/14","支払手数料","","","","課税仕入 10%","","9350","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","9350","出金 RKS(ナレツジソサエテイ","",""
"30","2025/10/14","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","253440","売掛金","InnoJin㈱","","","対象外","","253440","振込入金 イノジン カブシキカイシヤ","",""
"31","2025/10/14","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","1257730","売掛金","ストライプジャパン","","","対象外","","1257730","振込入金 RAKUCO ストライプジヤパン(カ","",""
"284","2025/10/14","通信費","","","","課税仕入 10%","","5940","未払金","AMEXカード","","","対象外","","5940","DROPBOX*GWPJM3ZHG65H","",""
"285","2025/10/14","通信費","","","","課税仕入 10%","","7451","未払金","AMEXカード","","","対象外","","7451","ZOOM.COM 888-799-9666","",""
"286","2025/10/14","旅費交通費","","","","課税仕入 10%","","2890","未払金","AMEXカード","","","対象外","","2890","ETC 東日本高速道路 関東支社","",""
"287","2025/10/14","旅費交通費","","","","課税仕入 10%","","500","未払金","AMEXカード","","","対象外","","500","ETC 首都高速道路","",""
"288","2025/10/14","旅費交通費","","","","課税仕入 10%","","640","未払金","AMEXカード","","","対象外","","640","ETC 首都高速道路","",""
"353","2025/10/14","旅費交通費","","","","課税仕入 10%","","4980","未払金","AMEXカード","","","対象外","","4980","イデミツ アポロステーション","",""
"18","2025/10/15","支払手数料","","","","課税仕入 10%","","1100","普通預金","【法人】西京信用金庫八重洲口営業部普通3127546","","","対象外","","1100","手数料 FB基本料","",""
"32","2025/10/15","支払手数料","","","","課税仕入 10%","","3300","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","3300","出金 WEB テスウリヨウ","",""
"33","2025/10/15","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","4698144","売掛金","InnoJin㈱","","","対象外","","4698144","振込入金 イノジン(カ","",""
"289","2025/10/15","通信費","","","","課税仕入 10%","","4300","未払金","AMEXカード","","","対象外","","4300","GOOGLE *NIKKEIDENSHIBA","",""
"290","2025/10/16","通信費","","","","課税仕入 10%","","924","未払金","AMEXカード","","","対象外","","924","CHATWORK BUSINESS PLAN","",""
"34","2025/10/17","長期未払金","カローラクロスZ","","","対象外","","53100","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","53100","出金 トヨタフアイナンス (カブ)","",""
"35","2025/10/17","長期未払金","レクサス　NX350ｈ","","","対象外","","84600","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","84600","出金 TF)レクサス","",""
"291","2025/10/17","通信費","","","","課税仕入 10%","","1551","未払金","AMEXカード","","","対象外","","1551","HITEM3D.AI PRODUCT","",""
"292","2025/10/17","通信費","","","","課税仕入 10%","","30261","未払金","AMEXカード","","","対象外","","30261","SLACK T5W48MM55","",""
"293","2025/10/18","通信費","","","","課税仕入 10%","","4268","未払金","AMEXカード","","","対象外","","4268","FORMRUN BEGINNER","",""
"294","2025/10/19","通信費","","","","課税仕入 10%","","10000","未払金","AMEXカード","","","対象外","","10000","GOOGLE*CLOUD TMDWCQ GOOGLE CLOUD JA","",""
"122","2025/10/20","通信費","","","","課税仕入 10%","","1380","短期借入金","篠原","","","対象外","","1380","ゆうパック","",""
"433","2025/10/20","ソフトウェア","","","","課税仕入 10%","","3000000","買掛金","Curip㈱","","","対象外","","3000000","Curip㈱　Rakuco購入","",""
"295","2025/10/21","通信費","","","","課税仕入 10%","","4500","未払金","AMEXカード","","","対象外","","4500","CANVA","",""
"48","2025/10/22","短期借入金","篠原","","","対象外","","110000","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","110000","出金 7BK00O06-3697","",""
"49","2025/10/22","支払手数料","","","","課税仕入 10%","","110","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","110","出金 リヨウテスウリヨウ","",""
"119","2025/10/22","通信費","","","","課税仕入 10%","","110000","短期借入金","篠原","","","対象外","","110000","三井住友カード㈱　キャリタスUCプレミアムパッケージ（コンビニ支払い）","",""
"121","2025/10/22","支払手数料","","","","課税仕入 10%","","440","短期借入金","篠原","","","対象外","","440","セブン　手数料","",""
"296","2025/10/22","備品・消耗品費","","","","課税仕入 10%","","54409","未払金","AMEXカード","","","対象外","","54409","アマゾン シーオージェーピー","",""
"297","2025/10/22","通信費","","","","課税仕入 10%","","3300","未払金","AMEXカード","","","対象外","","3300","SQSP* DOMAIN#206365248","",""
"50","2025/10/24","未払費用","給与","","","対象外","","75000","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","75000","出金 ヤツキ カナ","",""
"51","2025/10/24","支払手数料","","","","課税仕入 10%","","660","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","660","出金 フリコミテスウリヨウ","",""
"52","2025/10/24","未払費用","役員報酬","","","対象外","","480445","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","480445","出金 シノハラ リヨウ","",""
"53","2025/10/24","支払手数料","","","","課税仕入 10%","","660","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","660","出金 フリコミテスウリヨウ","",""
"54","2025/10/24","未払費用","役員報酬","","","対象外","","6874","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","6874","出金 シノハラ ミカ","",""
"55","2025/10/24","支払手数料","","","","課税仕入 10%","","490","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","490","出金 フリコミテスウリヨウ","",""
"56","2025/10/24","未払費用","給与","","","対象外","","269606","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","269606","出金 ヤマダ コウガ","",""
"57","2025/10/24","支払手数料","","","","課税仕入 10%","","660","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","660","出金 フリコミテスウリヨウ","",""
"58","2025/10/24","未払費用","給与","","","対象外","","123361","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","123361","出金 トミオカ アヤノ","",""
"59","2025/10/24","支払手数料","","","","課税仕入 10%","","660","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","660","出金 フリコミテスウリヨウ","",""
"298","2025/10/24","通信費","","","","課税仕入 10%","","20000","未払金","AMEXカード","","","対象外","","20000","GOOGLE*CLOUD NXTK2M GOOGLE CLOUD JA","",""
"299","2025/10/25","備品・消耗品費","","","","課税仕入 10%","","1280","未払金","AMEXカード","","","対象外","","1280","アマゾン JP マーケットプレイス","",""
"300","2025/10/26","通信費","","","","課税仕入 10%","","1441","未払金","AMEXカード","","","対象外","","1441","ATLASSIAN","",""
"301","2025/10/26","通信費","","","","課税仕入 10%","","4631","未払金","AMEXカード","","","対象外","","4631","ZAPIER.COM/CHARGE","",""
"60","2025/10/27","地代家賃","社宅/ヴィラーチ","","","対象外","","137000","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","138100","出金 NS チンリヨウ","",""
"60","2025/10/27","支払手数料","","","","課税仕入 10%","","220","","","","","","","","出金 NS チンリヨウ","",""
"60","2025/10/27","支払手数料","","","","課税仕入 10%","","880","","","","","","","","出金 NS チンリヨウ","",""
"61","2025/10/27","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","225280","売掛金","㈱BizMed Consulting","","","対象外","","225280","振込入金 カ)ビズメドコンサルテイング","",""
"127","2025/10/27","旅費交通費","","","","課税仕入 10%","","300","短期借入金","篠原","","","対象外","","300","駐車場","",""
"302","2025/10/27","備品・消耗品費","","","","課税仕入 10%","","3459","未払金","AMEXカード","","","対象外","","3459","アマゾン JP マーケットプレイス","",""
"303","2025/10/27","会議費","","","","課税仕入 10%","","3967","未払金","AMEXカード","","","対象外","","3967","フライングガーデン 東簗瀬店 栃木県","",""
"62","2025/10/28","未払金","その他","","","対象外","","33000","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","33000","出金 カ) ピ-ア-ルタイムズ","",""
"63","2025/10/28","支払手数料","","","","課税仕入 10%","","660","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","660","出金 フリコミテスウリヨウ","",""
"304","2025/10/28","通信費","","","","課税仕入 10%","","28380","未払金","AMEXカード","","","対象外","","28380","FORMRUN PROFESSIONAL","",""
"305","2025/10/29","備品・消耗品費","","","","課税仕入 10%","","6380","未払金","AMEXカード","","","対象外","","6380","アマゾン シーオージェーピー","",""
"306","2025/10/29","備品・消耗品費","","","","課税仕入 10%","","14200","未払金","AMEXカード","","","対象外","","14200","アマゾン シーオージェーピー","",""
"64","2025/10/30","未払費用","給与","","","対象外","","21910","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","21910","出金 ヤツキ カナ","",""
"65","2025/10/30","支払手数料","","","","課税仕入 10%","","490","普通預金","【法人】みずほ銀行(ビジネスWEB)九段支店普通302949","","","対象外","","490","出金 フリコミテスウリヨウ","",""
"307","2025/10/30","通信費","","","","課税仕入 10%","","1320","未払金","AMEXカード","","","対象外","","1320","さくらインターネット 大阪府 大阪市北","",""
"1","2025/10/31","普通預金","","","","対象外","","64468","売掛金","","","","対象外","","64468","No.170 株式会社root64・PCリース費用","",""
"2","2025/10/31","売上高","","","","課税売上 10%","","253440","売掛金","","","","対象外","","253440","No.175 InnoJin株式会社・ 【2025/8月分】眼科用デジタル治療プラットフォームの運用保守にかかる業務","",""
"3","2025/10/31","普通預金","","","","対象外","","116547","売掛金","","","","対象外","","116547","No.176 株式会社テシード・8月分システム保守費用","",""
"4","2025/10/31","普通預金","","","","対象外","","211200","売掛金","","","","対象外","","211200","No.177 西村あさひ法律事務所・外国法共同事業・人事評価システム保守費用","",""
"5","2025/10/31","普通預金","","","","対象外","","1368576","売掛金","","","","対象外","","1368576","No.178 西村あさひ法律事務所・外国法共同事業・人事評価システム機能改善","",""
"6","2025/10/31","普通預金","","","","対象外","","380160","売掛金","","","","対象外","","380160","No.180 綿半パートナーズ株式会社","",""
"7","2025/10/31","普通預金","","","","対象外","","563200","売掛金","","","","対象外","","563200","No.181 デジタルギア株式会社・医療事務向けの遠隔アウトソーシングサービスに関するシステム企画業務","",""
"8","2025/10/31","普通預金","","","","対象外","","225280","売掛金","","","","対象外","","225280","No.182 株式会社BizMed Consulting・医療従事者による調査情報提供サービスに関するシステムの運用保守","",""
